income,loan_amount,credit_utilization,transaction_frequency,mobile_money_activity,payment_history_score,late_payments,open_loans,business_age_months,debt_ratio,probability_of_default,default
212.98,610.62,0.2,32,0.148,0.965,1,1,35,0.172,0.995,1
1549.79,50.0,0.599,33,0.741,0.637,1,4,54,0.689,0.864,1
1719.23,107.05,0.414,42,0.32,0.501,1,3,120,0.146,0.61,0
1172.91,658.28,0.7,40,0.582,0.872,1,2,139,0.235,0.783,1
902.24,264.71,0.357,52,0.296,0.735,2,1,24,0.325,0.712,1
1156.21,790.17,0.726,41,0.65,0.895,0,1,150,0.366,0.842,1
698.12,576.96,0.914,43,0.135,0.786,1,4,113,0.075,0.898,1
2312.31,292.71,0.157,37,0.984,0.725,2,4,82,0.388,0.572,0
706.73,256.65,0.532,45,0.312,0.393,2,2,59,0.798,0.979,1
1658.7,775.82,0.635,56,0.994,0.953,2,1,53,0.335,0.767,0
629.39,280.26,0.419,41,0.794,0.707,2,1,8,0.879,0.957,1
1798.4,50.0,0.778,42,0.306,0.828,2,1,39,0.117,0.555,1
2006.16,167.93,0.844,49,0.759,0.846,3,3,10,0.115,0.671,0
1193.0,430.83,0.533,39,0.486,0.896,1,2,67,0.499,0.757,0
1143.33,203.63,0.455,32,0.875,0.934,1,5,52,0.325,0.485,1
521.71,997.62,0.71,38,0.95,0.745,4,5,88,0.71,0.999,1
462.17,238.27,0.158,42,0.623,0.684,1,2,146,0.583,0.84,1
1148.96,243.98,0.593,42,0.863,0.425,1,2,107,0.411,0.896,1
1729.1,153.7,0.273,38,0.117,0.496,2,0,52,0.159,0.63,0
725.9,620.33,0.909,36,0.234,0.472,0,2,59,0.615,0.989,1
2103.96,330.26,0.578,31,0.724,0.98,3,2,27,0.306,0.605,1
694.93,603.48,0.848,45,0.558,0.349,2,0,105,0.429,0.992,1
1114.7,688.7,0.311,39,0.415,0.485,1,3,171,0.075,0.806,1
1116.01,490.84,0.514,36,0.643,0.953,2,4,11,0.783,0.9,1
949.23,477.13,0.248,29,0.194,0.488,4,1,68,0.845,0.98,1
150.0,99.85,0.752,36,0.308,0.902,0,2,140,0.731,0.937,1
690.46,50.0,0.478,52,0.846,0.486,0,4,118,0.406,0.757,0
1099.82,50.0,0.178,28,0.252,0.935,4,1,28,0.8,0.756,1
952.01,418.11,0.207,51,0.968,0.925,1,2,118,0.076,0.351,1
1318.1,976.1,0.75,45,0.104,0.835,2,2,179,0.232,0.896,1
1378.42,258.31,0.13,30,0.293,0.445,0,3,11,0.387,0.703,0
879.96,656.23,0.481,36,0.818,0.894,1,1,151,0.871,0.952,1
518.78,531.32,0.285,42,0.911,0.935,1,2,146,0.571,0.909,1
1774.16,408.46,0.882,40,0.712,0.557,2,2,17,0.407,0.932,0
322.27,339.2,0.26,41,0.971,0.427,1,1,136,0.104,0.933,1
702.35,292.46,0.201,46,0.223,0.436,3,4,10,0.42,0.916,1
575.02,287.83,0.456,42,0.928,0.57,1,2,132,0.24,0.836,1
1373.23,551.34,0.655,39,0.276,0.464,2,0,2,0.112,0.906,1
1658.51,615.13,0.671,40,0.619,0.994,2,3,172,0.715,0.876,1
913.15,294.0,0.631,35,0.507,0.882,3,2,173,0.644,0.897,1
1114.89,290.57,0.338,49,0.951,0.741,2,4,61,0.132,0.552,1
1214.39,254.46,0.073,37,0.571,0.448,1,5,38,0.49,0.78,1
1902.0,650.04,0.642,44,0.291,0.39,3,5,34,0.278,0.942,1
150.0,619.81,0.861,44,0.917,0.677,2,2,112,0.136,1.0,1
1372.11,769.1,0.336,46,0.442,0.909,3,2,135,0.588,0.87,1
1188.26,197.06,0.186,41,0.441,0.311,3,4,77,0.557,0.923,1
814.58,245.58,0.321,39,0.395,0.651,1,4,84,0.493,0.791,1
1163.11,813.6,0.55,39,0.607,0.524,0,2,13,0.646,0.967,1
1370.41,730.98,0.741,42,0.196,0.985,0,1,88,0.427,0.775,1
1291.58,152.29,0.663,46,0.77,0.588,2,4,22,0.212,0.778,1
2079.25,176.31,0.558,31,0.337,0.417,2,1,49,0.577,0.926,1
1063.74,463.32,0.84,43,0.654,0.817,2,1,118,0.149,0.807,1
1013.45,710.45,0.742,36,0.165,0.476,0,2,145,0.276,0.945,0
909.35,173.95,0.23,39,0.117,0.593,2,5,116,0.269,0.664,1
1276.49,421.72,0.711,36,0.259,0.979,0,0,55,0.114,0.46,1
983.97,672.3,0.284,33,0.429,0.434,1,1,1,0.061,0.886,1
1006.6,349.28,0.938,48,0.659,0.652,1,5,157,0.87,0.976,1
1008.91,380.91,0.304,56,0.158,0.59,0,1,23,0.767,0.902,1
932.7,755.34,0.113,40,0.987,0.974,2,2,18,0.802,0.904,1
695.66,295.57,0.622,39,0.353,0.938,3,2,108,0.677,0.909,1
1209.05,717.01,0.613,43,0.839,0.706,0,3,162,0.369,0.864,1
857.48,362.59,0.734,33,0.948,0.797,3,0,117,0.199,0.837,0
1306.84,128.64,0.777,44,0.17,0.666,0,2,26,0.873,0.928,0
1055.38,539.17,0.926,43,0.726,0.683,1,2,77,0.36,0.929,1
806.71,245.91,0.737,41,0.225,0.333,3,2,22,0.526,0.978,1
1782.42,107.27,0.818,42,0.158,0.331,1,1,143,0.277,0.897,1
948.84,891.19,0.893,45,0.2,0.829,2,2,105,0.832,0.99,1
1311.41,504.83,0.282,47,0.567,0.981,2,1,29,0.269,0.506,1
650.01,320.26,0.217,43,0.935,0.761,3,1,33,0.32,0.775,1
150.0,324.81,0.545,42,0.235,0.497,0,4,107,0.326,0.998,1
716.5,782.68,0.376,48,0.138,0.733,0,3,74,0.061,0.836,0
150.0,801.27,0.087,31,0.809,0.656,1,2,51,0.46,1.0,1
881.57,263.79,0.785,32,0.254,0.598,1,0,136,0.55,0.93,1
1734.32,466.14,0.252,44,0.514,0.407,0,1,80,0.09,0.629,0
547.36,308.19,0.456,33,0.537,0.496,0,2,131,0.379,0.897,1
150.0,591.97,0.745,37,0.152,0.582,0,1,34,0.756,1.0,1
1750.13,311.54,0.574,31,0.573,0.909,1,1,28,0.546,0.708,0
762.32,50.0,0.932,33,0.513,0.921,0,0,9,0.189,0.526,0
992.13,142.16,0.804,36,0.764,0.319,3,2,146,0.115,0.917,1
1394.14,660.45,0.802,42,0.577,0.892,3,3,115,0.077,0.777,1
1261.59,220.02,0.767,33,0.641,0.377,1,4,36,0.685,0.966,1
1375.26,596.34,0.724,37,0.654,0.892,1,3,87,0.493,0.844,1
1450.21,492.86,0.574,40,0.683,0.633,1,3,178,0.257,0.789,1
150.0,221.88,0.747,44,0.739,0.339,0,3,7,0.875,0.999,1
292.83,361.28,0.596,39,0.792,0.407,0,3,95,0.158,0.976,1
1585.58,243.66,0.438,27,0.809,0.937,2,1,88,0.09,0.358,1
609.13,304.92,0.524,36,0.798,0.473,2,1,159,0.161,0.89,1
663.68,50.0,0.539,49,0.199,0.472,2,4,79,0.235,0.788,1
368.58,371.27,0.937,47,0.117,0.751,1,3,154,0.674,0.988,1
797.53,255.35,0.487,41,0.939,0.585,2,4,161,0.541,0.908,1
825.34,419.14,0.742,45,0.268,0.896,1,1,20,0.087,0.685,0
531.27,531.75,0.585,39,0.636,0.531,1,3,167,0.101,0.944,1
473.46,555.16,0.475,32,0.299,0.571,1,3,137,0.117,0.95,1
1159.33,258.15,0.846,44,0.9,0.513,1,2,46,0.64,0.955,1
596.17,238.94,0.644,34,0.659,0.593,3,2,19,0.8,0.978,1
696.84,362.1,0.809,40,0.284,0.865,0,2,128,0.412,0.843,0
150.0,673.47,0.873,52,0.919,0.707,4,3,178,0.691,1.0,1
1969.1,271.47,0.679,37,0.679,0.786,0,3,177,0.275,0.591,1
1470.91,228.95,0.23,40,0.579,0.592,2,0,173,0.151,0.566,0
752.6,124.83,0.82,37,0.167,0.701,0,4,57,0.235,0.709,1
550.46,526.9,0.135,34,0.517,0.717,0,4,60,0.816,0.952,1
1005.44,327.17,0.16,46,0.227,0.531,1,2,147,0.735,0.893,1
991.73,148.63,0.439,55,0.809,0.58,1,3,123,0.643,0.863,1
362.02,200.79,0.096,57,0.746,0.663,0,2,54,0.769,0.879,1
150.0,567.27,0.094,36,0.934,0.896,2,2,123,0.406,1.0,1
736.96,436.0,0.943,35,0.751,0.507,1,0,152,0.67,0.986,1
218.31,232.69,0.683,38,0.642,0.814,1,3,106,0.393,0.956,1
1085.69,543.58,0.751,45,0.732,0.845,2,1,160,0.741,0.951,1
1089.04,658.74,0.83,44,0.297,0.434,1,1,162,0.869,0.992,1
513.39,564.04,0.085,52,0.527,0.744,1,0,118,0.724,0.957,1
732.71,451.69,0.433,42,0.673,0.713,0,6,174,0.399,0.833,0
1881.52,819.32,0.818,36,0.172,0.879,3,2,26,0.852,0.969,1
1387.56,731.08,0.729,52,0.755,0.391,0,3,106,0.545,0.968,1
773.87,415.64,0.16,40,0.434,0.353,2,1,33,0.257,0.893,1
2145.98,652.32,0.895,37,0.389,0.88,1,1,69,0.219,0.729,1
401.53,562.81,0.801,37,0.674,0.901,2,4,124,0.516,0.988,1
593.65,266.57,0.409,37,0.885,0.966,1,2,50,0.72,0.817,1
944.74,800.12,0.892,39,0.361,0.994,2,2,34,0.287,0.914,0
234.5,821.81,0.777,37,0.73,0.874,0,0,151,0.56,1.0,1
1895.15,699.46,0.178,38,0.732,0.852,4,2,70,0.417,0.746,0
1091.58,557.58,0.39,35,0.715,0.747,1,1,94,0.76,0.918,1
605.03,636.41,0.398,37,0.813,0.638,2,2,9,0.661,0.984,1
1223.89,316.31,0.893,35,0.618,0.962,2,6,1,0.152,0.741,1
1073.03,673.9,0.469,39,0.998,0.983,5,0,20,0.217,0.827,1
847.67,77.53,0.508,49,0.567,0.643,3,5,5,0.889,0.95,1
395.74,318.49,0.197,35,0.552,0.69,0,1,104,0.784,0.939,1
281.89,50.0,0.289,35,0.12,0.781,1,2,131,0.62,0.713,1
2093.4,500.05,0.302,41,0.807,0.669,0,2,16,0.853,0.869,1
323.63,657.42,0.807,39,0.953,0.444,2,0,128,0.846,1.0,1
1848.98,812.3,0.41,41,0.582,0.515,0,3,45,0.624,0.918,1
577.62,346.24,0.382,44,0.393,0.884,2,1,117,0.866,0.937,1
1395.02,457.94,0.552,49,0.423,0.485,4,1,153,0.772,0.98,1
1232.72,396.4,0.281,36,0.937,0.756,0,0,163,0.16,0.448,1
1332.71,852.14,0.09,41,0.684,0.475,3,0,59,0.216,0.875,1
1366.01,482.96,0.542,39,0.918,0.378,2,2,119,0.054,0.856,1
194.22,863.62,0.389,34,0.688,0.598,0,2,44,0.798,1.0,1
661.83,711.25,0.469,35,0.448,0.865,1,0,51,0.893,0.981,1
315.98,588.23,0.646,39,0.49,0.58,0,3,69,0.499,0.997,1
1094.65,260.83,0.834,37,0.576,0.779,0,4,20,0.898,0.938,1
338.33,129.09,0.343,43,0.63,0.501,3,0,40,0.068,0.793,1
150.0,422.29,0.842,45,0.647,0.868,2,3,4,0.511,1.0,1
881.26,424.35,0.621,43,0.507,0.411,6,2,47,0.286,0.977,1
150.0,109.07,0.895,30,0.135,0.966,4,1,39,0.192,0.916,1
1129.37,670.63,0.551,36,0.653,0.853,2,1,106,0.33,0.836,1
371.19,445.96,0.729,52,0.552,0.516,3,2,94,0.409,0.993,1
579.71,546.85,0.085,38,0.705,0.945,1,2,73,0.273,0.699,1
150.0,824.69,0.102,44,0.754,0.779,1,1,32,0.735,1.0,1
1825.05,205.92,0.128,52,0.395,0.565,5,5,62,0.772,0.925,1
268.54,50.0,0.83,42,0.34,0.372,0,1,19,0.135,0.852,1
818.0,253.47,0.202,43,0.237,0.523,1,3,36,0.858,0.928,1
150.0,832.49,0.225,41,0.578,0.992,0,0,56,0.259,1.0,1
582.17,402.1,0.106,29,0.159,0.589,1,1,12,0.191,0.777,0
1875.91,352.59,0.828,31,0.977,0.531,1,1,128,0.845,0.969,1
1148.74,270.82,0.128,49,0.192,0.637,4,0,91,0.825,0.923,1
638.18,398.4,0.661,53,0.453,0.82,2,2,142,0.803,0.966,1
982.91,257.36,0.372,42,0.159,0.976,5,5,68,0.421,0.742,1
719.72,277.02,0.311,45,0.941,0.753,1,3,84,0.367,0.696,0
953.79,661.57,0.789,29,0.328,0.685,1,1,125,0.102,0.882,1
1371.93,1047.73,0.373,34,0.978,0.845,2,3,172,0.732,0.944,1
834.45,189.36,0.075,42,0.937,0.704,2,4,120,0.813,0.835,1
1110.0,265.97,0.233,35,0.575,0.796,2,1,57,0.752,0.82,1
1118.25,260.55,0.432,40,0.966,0.377,1,3,25,0.237,0.828,1
836.93,797.76,0.147,37,0.375,0.965,3,4,120,0.082,0.705,0
632.04,589.6,0.145,35,0.66,0.795,0,4,15,0.768,0.931,0
737.41,335.72,0.238,36,0.291,0.776,1,2,85,0.203,0.581,1
1349.59,274.38,0.536,48,0.868,0.808,1,3,132,0.073,0.46,0
1391.21,790.63,0.688,34,0.633,0.5,0,3,104,0.592,0.962,1
431.1,410.29,0.646,35,0.924,0.738,1,3,179,0.415,0.954,1
869.51,390.22,0.054,55,0.641,0.801,1,1,178,0.814,0.826,1
623.54,50.0,0.453,45,0.648,0.532,3,1,135,0.404,0.841,1
1399.98,598.96,0.444,35,0.761,0.918,1,0,137,0.409,0.687,1
764.4,398.2,0.252,43,0.146,0.998,4,0,128,0.44,0.765,1
2100.46,426.7,0.586,47,0.513,0.732,0,2,114,0.443,0.727,1
1108.95,425.75,0.282,35,0.299,0.904,1,2,31,0.546,0.691,1
1591.0,635.03,0.94,44,0.941,0.407,1,2,127,0.883,0.991,1
492.69,50.0,0.675,28,0.913,0.534,3,2,30,0.568,0.934,1
1005.86,100.89,0.875,25,0.804,0.448,1,1,96,0.621,0.951,1
1308.09,889.71,0.103,49,0.922,0.472,0,3,30,0.856,0.96,1
483.35,93.36,0.393,53,0.883,0.996,0,0,125,0.289,0.33,1
1010.17,209.24,0.125,42,0.615,0.504,2,2,102,0.807,0.909,1
1525.93,712.74,0.619,26,0.958,0.778,1,3,94,0.763,0.936,1
836.27,412.55,0.184,40,0.562,0.334,3,2,161,0.224,0.905,1
574.12,414.84,0.307,30,0.987,0.66,1,2,51,0.665,0.942,1
1901.48,797.64,0.506,34,0.965,0.671,2,1,79,0.748,0.947,1
414.13,256.29,0.903,42,0.939,0.771,1,0,174,0.797,0.976,1
1077.95,265.88,0.897,40,0.403,0.597,1,3,170,0.201,0.846,1
645.86,590.13,0.487,39,0.386,0.406,1,3,27,0.358,0.972,1
531.58,439.92,0.4,44,0.501,0.957,3,3,166,0.791,0.956,1
1370.83,657.06,0.354,43,0.263,0.834,1,1,25,0.504,0.784,0
897.23,238.85,0.914,52,0.206,0.721,2,0,69,0.647,0.947,1
1202.94,449.79,0.72,47,0.717,0.915,0,1,117,0.148,0.561,0
150.0,381.74,0.551,41,0.473,0.793,1,3,89,0.717,0.999,1
1251.56,302.19,0.133,40,0.65,0.964,1,2,4,0.42,0.44,1
639.7,79.45,0.184,40,0.364,0.37,0,3,27,0.08,0.538,1
150.0,294.82,0.821,31,0.4,0.906,2,1,39,0.874,0.999,1
1942.37,265.29,0.916,42,0.709,0.531,0,0,79,0.497,0.907,1
1300.51,713.25,0.779,39,0.341,0.723,2,1,46,0.722,0.971,1
1113.64,541.8,0.437,37,0.239,0.961,2,0,5,0.768,0.896,1
1624.71,511.09,0.267,39,0.928,0.88,1,1,160,0.052,0.328,0
1123.78,354.49,0.172,47,0.765,0.753,0,1,150,0.865,0.823,1
600.69,177.03,0.185,45,0.244,0.753,2,1,136,0.433,0.687,1
912.52,455.66,0.38,36,0.297,0.834,2,1,50,0.507,0.835,1
660.82,754.54,0.72,38,0.396,0.924,0,0,23,0.51,0.957,1
749.82,185.38,0.697,45,0.535,0.54,2,2,79,0.697,0.958,1
371.15,513.44,0.45,44,0.18,0.736,2,2,161,0.364,0.978,1
514.99,286.69,0.388,41,0.289,0.907,2,3,31,0.269,0.708,1
1447.29,398.62,0.403,36,0.112,0.412,3,1,39,0.731,0.966,1
1166.04,361.09,0.772,43,0.638,0.477,2,2,43,0.55,0.961,1
748.49,512.45,0.176,39,0.849,0.545,4,1,137,0.843,0.982,1
485.98,360.97,0.172,51,0.261,0.427,1,1,139,0.273,0.899,1
797.3,274.22,0.144,34,0.896,0.671,0,0,96,0.74,0.813,1
158.08,50.0,0.873,27,0.459,0.976,0,4,77,0.672,0.846,1
1063.32,455.03,0.108,44,0.388,0.544,1,1,33,0.67,0.887,1
1472.74,552.65,0.665,40,0.299,0.807,0,5,63,0.403,0.77,1
2183.49,415.63,0.482,38,0.981,0.883,0,2,133,0.557,0.641,1
448.37,381.78,0.163,31,0.325,0.41,5,2,101,0.693,0.99,1
1451.9,771.67,0.446,44,0.431,0.858,0,1,160,0.073,0.512,1
646.39,805.24,0.309,37,0.184,0.708,1,0,137,0.896,0.989,1
435.77,667.88,0.459,39,0.972,0.623,3,1,15,0.205,0.987,1
435.55,483.68,0.856,38,0.137,0.786,2,1,59,0.871,0.995,1
1070.37,424.26,0.226,38,0.433,0.916,0,2,26,0.096,0.308,0
534.6,136.62,0.314,39,0.279,0.315,0,0,146,0.477,0.88,1
696.58,50.0,0.79,35,0.388,0.577,3,3,2,0.238,0.879,1
779.8,742.71,0.601,39,0.231,0.941,2,1,10,0.373,0.924,1
630.02,428.51,0.207,44,0.349,0.708,2,1,139,0.263,0.805,1
593.71,1247.94,0.886,48,0.397,0.449,3,3,152,0.887,1.0,1
150.0,254.05,0.489,41,0.344,0.594,0,1,129,0.429,0.992,1
1043.48,506.74,0.901,53,0.64,0.919,2,4,147,0.792,0.959,1
1033.84,655.5,0.066,32,0.473,0.793,0,1,8,0.895,0.894,1
601.33,236.79,0.426,41,0.34,0.92,2,3,20,0.782,0.879,1
1180.19,332.59,0.439,39,0.577,0.348,1,2,50,0.333,0.886,1
1698.45,351.41,0.333,43,0.364,0.706,2,4,66,0.19,0.585,0
1011.79,298.28,0.286,47,0.69,0.513,0,2,151,0.329,0.727,1
1665.13,499.72,0.239,25,0.876,0.33,1,4,140,0.294,0.838,1
2119.07,413.71,0.59,28,0.888,0.346,3,2,95,0.871,0.984,1
2265.26,50.0,0.897,38,0.235,0.869,3,2,1,0.824,0.948,1
405.88,427.56,0.715,41,0.169,0.866,3,3,72,0.559,0.98,1
408.47,493.46,0.296,33,0.774,0.719,4,1,132,0.855,0.993,1
777.79,389.84,0.561,41,0.929,0.879,2,2,59,0.122,0.683,0
1064.36,811.72,0.672,48,0.577,0.852,1,3,166,0.48,0.921,1
1793.33,486.99,0.502,36,0.165,0.519,1,2,177,0.632,0.919,1
1313.62,405.89,0.583,41,0.717,0.419,0,1,129,0.259,0.848,1
398.36,627.36,0.577,42,0.223,0.543,2,4,144,0.642,0.997,1
694.17,966.62,0.679,45,0.485,0.587,2,2,178,0.555,0.995,1
979.0,364.17,0.442,51,0.713,0.804,2,0,68,0.399,0.773,1
255.42,663.42,0.703,39,0.876,0.476,1,2,21,0.731,1.0,1
1006.83,859.73,0.843,28,0.566,0.853,0,2,136,0.769,0.973,1
405.78,342.31,0.305,39,0.393,0.53,4,3,71,0.635,0.984,1
174.64,106.87,0.325,50,0.546,0.409,0,1,107,0.648,0.955,1
526.51,509.58,0.388,34,0.246,0.375,0,2,155,0.201,0.947,1
1205.51,736.83,0.232,34,0.52,0.841,1,0,115,0.853,0.909,1
1202.06,328.67,0.919,33,0.648,0.89,2,3,17,0.674,0.923,1
1048.33,673.91,0.492,42,0.346,0.829,1,6,27,0.324,0.813,1
1495.81,185.16,0.326,37,0.473,0.444,1,4,24,0.229,0.704,1
1442.79,338.25,0.589,36,0.946,0.655,0,2,176,0.361,0.747,1
1102.19,376.9,0.747,36,0.119,0.581,2,4,120,0.541,0.947,1
1033.19,365.2,0.344,35,0.876,0.603,2,0,120,0.33,0.808,1
1064.77,185.12,0.209,57,0.842,0.784,1,2,95,0.856,0.8,1
926.18,316.15,0.907,45,0.412,0.655,1,2,22,0.153,0.84,1
150.0,50.0,0.945,36,0.368,0.888,5,4,168,0.208,0.887,1
1567.74,573.24,0.3,31,0.736,0.863,1,3,45,0.376,0.61,1
1198.76,409.03,0.484,34,0.902,0.531,2,3,142,0.881,0.97,1
391.84,687.45,0.075,35,0.145,0.963,2,0,114,0.296,0.953,1
1713.91,377.62,0.782,44,0.575,0.977,1,2,26,0.444,0.71,1
705.01,50.0,0.084,48,0.345,0.496,1,4,95,0.878,0.867,1
946.12,479.75,0.742,27,0.226,0.363,3,4,104,0.345,0.975,1
1511.79,234.44,0.3,38,0.527,0.632,2,2,18,0.088,0.534,1
1110.07,667.26,0.892,33,0.196,0.744,2,1,94,0.32,0.934,1
1667.69,347.07,0.275,44,0.578,0.596,3,3,3,0.354,0.813,1
823.95,903.8,0.949,37,0.127,0.915,3,0,121,0.676,0.99,1
1845.59,176.46,0.174,50,0.6,0.607,0,1,128,0.158,0.378,0
611.1,461.57,0.858,36,0.377,0.446,0,1,160,0.07,0.938,1
1658.81,549.65,0.196,29,0.854,0.844,1,1,147,0.565,0.677,0
150.0,317.42,0.793,42,0.561,0.677,1,1,45,0.154,0.996,1
449.9,66.75,0.314,38,0.59,0.316,3,2,128,0.792,0.966,1
1148.98,349.94,0.45,39,0.748,0.89,2,1,95,0.795,0.872,1
799.78,50.0,0.52,36,0.273,0.745,0,3,71,0.64,0.738,1
962.63,225.39,0.861,37,0.184,0.452,1,3,70,0.054,0.841,1
1020.83,355.47,0.202,34,0.884,0.695,2,1,27,0.477,0.783,1
404.55,650.21,0.902,44,0.933,0.864,3,1,178,0.626,0.997,1
442.04,469.9,0.243,39,0.764,0.539,2,2,144,0.098,0.924,1
1116.06,298.99,0.638,49,0.871,0.601,2,4,134,0.686,0.944,0
666.83,283.59,0.689,51,0.681,0.906,0,3,119,0.604,0.834,1
1670.52,262.27,0.791,47,0.595,0.925,1,3,154,0.085,0.475,0
904.03,629.9,0.93,43,0.724,0.802,2,1,105,0.413,0.954,1
1359.38,50.0,0.104,42,0.765,0.684,6,2,67,0.714,0.878,1
1221.43,188.28,0.752,40,0.262,0.831,1,1,117,0.561,0.811,1
699.42,50.0,0.392,49,0.843,0.481,1,2,17,0.707,0.891,1
150.0,546.41,0.682,44,0.917,0.963,0,1,130,0.746,1.0,1
1592.47,778.56,0.299,48,0.65,0.535,2,1,89,0.691,0.948,1
510.55,543.49,0.9,43,0.423,0.567,2,2,39,0.568,0.994,1
798.12,561.55,0.725,47,0.305,0.942,0,1,103,0.206,0.754,1
924.58,268.7,0.42,51,0.641,0.537,2,1,29,0.599,0.918,1
974.49,521.96,0.919,32,0.16,0.535,2,2,23,0.776,0.989,1
1480.98,212.25,0.757,34,0.924,0.322,4,2,136,0.763,0.987,1
1002.91,256.24,0.694,40,0.535,0.519,1,5,92,0.115,0.791,1
936.32,390.59,0.794,39,0.837,0.596,1,2,67,0.226,0.879,1
1509.23,410.55,0.635,43,0.94,0.617,2,3,158,0.336,0.857,1
1300.33,848.08,0.477,29,0.273,0.721,3,2,154,0.891,0.979,1
632.21,616.63,0.307,49,0.747,0.727,0,1,111,0.494,0.919,1
426.42,428.94,0.145,40,0.79,0.729,1,1,135,0.759,0.959,1
588.15,827.36,0.417,43,0.946,0.433,1,3,153,0.527,0.993,1
975.39,1000.83,0.474,47,0.459,0.842,1,3,151,0.771,0.972,1
376.97,404.99,0.899,35,0.169,0.968,3,2,125,0.578,0.983,1
1045.38,495.73,0.608,45,0.757,0.821,2,2,69,0.296,0.813,1
935.4,90.35,0.095,43,0.249,0.892,0,4,12,0.654,0.469,1
150.0,441.31,0.071,49,0.48,0.919,1,1,106,0.671,0.999,1
296.91,230.47,0.808,45,0.945,0.579,0,4,110,0.698,0.982,1
150.0,50.0,0.583,38,0.181,0.983,1,2,5,0.844,0.879,1
828.05,647.41,0.557,42,0.585,0.771,3,2,145,0.721,0.976,1
1537.01,426.59,0.371,33,0.148,0.912,2,0,42,0.147,0.456,0
150.0,182.72,0.696,49,0.841,0.498,0,2,47,0.231,0.978,1
338.86,50.0,0.8,42,0.261,0.613,4,6,50,0.455,0.935,1
918.13,247.79,0.857,43,0.14,0.829,0,2,169,0.72,0.896,1
468.12,231.46,0.45,38,0.58,0.703,1,1,172,0.674,0.916,1
465.66,372.37,0.125,51,0.61,0.615,1,3,29,0.261,0.834,1
1270.8,50.0,0.831,40,0.693,0.861,0,3,88,0.192,0.492,1
752.55,507.37,0.665,42,0.876,0.877,0,2,63,0.836,0.948,1
256.64,560.35,0.695,39,0.151,0.33,0,3,149,0.619,1.0,1
150.0,74.49,0.899,33,0.685,0.527,2,2,2,0.172,0.951,1
2104.2,50.0,0.257,52,0.178,0.492,0,1,116,0.269,0.543,1
1564.15,653.62,0.779,50,0.821,0.783,0,2,77,0.526,0.876,1
774.18,362.76,0.439,41,0.421,0.859,2,1,53,0.345,0.757,1
1043.93,559.91,0.894,28,0.491,0.442,5,4,166,0.279,0.983,1
755.73,427.62,0.345,42,0.59,0.592,3,1,94,0.771,0.969,1
1255.23,377.94,0.569,46,0.939,0.387,3,3,40,0.267,0.926,1
572.89,658.71,0.648,50,0.908,0.853,2,3,114,0.263,0.951,1
728.41,610.1,0.086,27,0.634,0.883,0,0,176,0.296,0.65,0
1227.7,496.18,0.63,30,0.39,0.417,6,2,49,0.576,0.988,1
1726.93,513.32,0.674,46,0.952,0.757,0,1,166,0.779,0.904,1
1370.71,291.48,0.796,39,0.797,0.672,3,1,161,0.052,0.776,1
1616.96,538.58,0.344,35,0.839,0.516,2,5,3,0.137,0.79,1
843.79,788.37,0.698,29,0.373,0.47,3,3,67,0.863,0.997,1
688.49,655.98,0.789,51,0.11,0.583,3,2,23,0.183,0.975,1
150.0,50.0,0.788,47,0.736,0.768,3,1,16,0.751,0.961,1
1036.1,512.96,0.266,49,0.382,0.68,0,2,159,0.294,0.687,0
1189.52,533.5,0.909,35,0.965,0.752,2,2,35,0.473,0.939,1
850.0,683.18,0.705,42,0.6,0.752,1,0,165,0.566,0.96,1
611.65,709.51,0.673,48,0.997,0.331,2,3,156,0.442,0.995,1
1621.7,523.91,0.781,54,0.147,0.817,3,5,78,0.136,0.777,1
1315.9,90.34,0.756,41,0.476,0.357,1,2,160,0.854,0.973,1
1656.41,371.79,0.24,38,0.72,0.908,0,4,73,0.132,0.252,0
523.21,201.58,0.595,32,0.298,0.575,1,3,156,0.629,0.937,1
645.88,108.54,0.785,32,0.337,0.504,0,2,106,0.238,0.811,1
1601.59,749.21,0.654,37,0.755,0.76,0,3,116,0.87,0.946,1
976.33,284.01,0.572,34,0.677,0.83,4,2,141,0.547,0.892,1
715.45,897.34,0.297,43,0.123,0.36,0,4,9,0.249,0.975,1
750.24,303.84,0.75,34,0.331,0.305,3,1,99,0.741,0.991,1
994.46,221.44,0.098,40,0.711,0.301,1,4,111,0.566,0.883,1
1501.48,550.46,0.669,43,0.284,0.832,2,4,1,0.77,0.953,1
919.74,380.36,0.743,43,0.902,0.686,2,2,17,0.537,0.939,1
1395.27,469.42,0.884,41,0.406,0.417,1,1,106,0.131,0.907,1
1233.69,265.21,0.715,38,0.392,0.636,1,1,117,0.108,0.707,1
560.83,265.17,0.522,52,0.999,0.635,3,5,119,0.492,0.935,1
560.44,277.67,0.227,38,0.202,0.861,1,1,56,0.502,0.725,1
774.87,139.45,0.409,30,0.549,0.404,2,3,138,0.458,0.896,1
331.58,641.58,0.135,41,0.202,0.383,0,0,68,0.792,0.998,1
742.93,451.46,0.447,31,0.55,0.513,4,2,91,0.101,0.916,1
1756.72,438.37,0.183,49,0.322,0.468,2,0,95,0.1,0.658,1
984.3,566.53,0.187,25,0.465,0.737,6,3,95,0.806,0.972,1
616.77,489.26,0.226,41,0.912,0.99,0,3,26,0.223,0.565,0
1957.87,966.02,0.68,46,0.224,0.509,1,4,151,0.063,0.852,1
